"date","intersection","vehicule"
"2015-11-02 17:00:00","S2",2
"2015-11-02 17:00:00","S3",3
"2015-11-02 17:00:00","N",2
"2015-11-02 18:00:00","I1",24
"2015-11-02 18:00:00","I2",12
"2015-11-02 18:00:00","I3",8
"2015-11-02 18:00:00","S1",5
"2015-11-02 18:00:00","S2",2
"2015-11-02 18:00:00","S3",3
"2015-11-02 18:00:00","N",3
"2015-11-02 19:00:00","I1",26
"2015-11-02 19:00:00","I2",10
"2015-11-02 19:00:00","I3",7
"2015-11-02 19:00:00","S1",3
"2015-11-02 19:00:00","S2",2
"2015-11-02 19:00:00","S3",3
"2015-11-02 19:00:00","N",2
"2015-11-02 20:00:00","I1",29
"2015-11-02 20:00:00","I2",12
"2015-11-02 20:00:00","I3",13
"2015-11-02 20:00:00","S1",4
"2015-11-02 20:00:00","S2",2
"2015-11-02 20:00:00","S3",6
"2015-11-02 20:00:00","N",6
"2015-11-02 21:00:00","I1",32
"2015-11-02 21:00:00","I2",11
"2015-11-02 21:00:00","I3",15
"2015-11-02 21:00:00","S1",6
"2015-11-02 21:00:00","S2",4
"2015-11-02 21:00:00","S3",9
"2015-11-02 21:00:00","N",4
"2015-11-02 22:00:00","I1",30
"2015-11-02 22:00:00","I2",12
"2015-11-02 22:00:00","I3",9
"2015-11-02 22:00:00","S1",2
"2015-11-02 22:00:00","S2",2
"2015-11-02 22:00:00","S3",4
"2015-11-02 22:00:00","N",4
"2015-11-02 23:00:00","I1",27
"2015-11-02 23:00:00","I2",13
"2015-11-02 23:00:00","I3",8
"2015-11-02 23:00:00","S1",2
"2015-11-02 23:00:00","S2",3
"2015-11-02 23:00:00","S3",3
"2015-11-02 23:00:00","N",4
"2015-11-03 00:00:00","I1",21
"2015-11-03 00:00:00","I2",8
"2015-11-03 00:00:00","I3",10
"2015-11-03 00:00:00","S1",2
"2015-11-03 00:00:00","S2",1
"2015-11-03 00:00:00","S3",5
"2015-11-03 00:00:00","N",4
"2015-11-03 01:00:00","I1",18
"2015-11-03 01:00:00","I2",8
"2015-11-03 01:00:00","I3",4
"2015-11-03 01:00:00","S1",2
"2015-11-03 01:00:00","S2",3
"2015-11-03 01:00:00","S3",2
"2015-11-03 01:00:00","N",1
"2015-11-03 02:00:00","I1",19
"2015-11-03 02:00:00","I2",8
"2015-11-03 02:00:00","I3",7
"2015-11-03 02:00:00","S1",4
"2015-11-03 02:00:00","S2",2
"2015-11-03 02:00:00","S3",3
"2015-11-03 02:00:00","N",2
"2015-11-03 03:00:00","I1",13
"2015-11-03 03:00:00","I2",8
"2015-11-03 03:00:00","I3",5
"2015-11-03 03:00:00","S1",2
"2015-11-03 03:00:00","S2",2
"2015-11-03 03:00:00","S3",2
"2015-11-03 03:00:00","N",1
"2015-11-03 04:00:00","I1",11
"2015-11-03 04:00:00","I2",10
"2015-11-03 04:00:00","I3",4
"2015-11-03 04:00:00","S1",2
"2015-11-03 04:00:00","S2",2
"2015-11-03 04:00:00","S3",2
"2015-11-03 04:00:00","N",1
"2015-11-03 05:00:00","I1",11
"2015-11-03 05:00:00","I2",6
"2015-11-03 05:00:00","I3",4
"2015-11-03 05:00:00","S1",2
"2015-11-03 05:00:00","S2",2
"2015-11-03 05:00:00","S3",2
"2015-11-03 05:00:00","N",1
"2015-11-03 06:00:00","I1",11
"2015-11-03 06:00:00","I2",4
"2015-11-03 06:00:00","I3",3
"2015-11-03 06:00:00","S1",2
"2015-11-03 06:00:00","S2",2
"2015-11-03 06:00:00","S3",1
"2015-11-03 06:00:00","N",1
"2015-11-03 07:00:00","I1",14
"2015-11-03 07:00:00","I2",6
"2015-11-03 07:00:00","I3",5
"2015-11-03 07:00:00","S1",2
"2015-11-03 07:00:00","S2",2
"2015-11-03 07:00:00","S3",3
"2015-11-03 07:00:00","N",1
"2015-11-03 08:00:00","I1",15
"2015-11-03 08:00:00","I2",6
"2015-11-03 08:00:00","I3",6
"2015-11-03 08:00:00","S1",3
"2015-11-03 08:00:00","S2",2
"2015-11-03 08:00:00","S3",1
"2015-11-03 08:00:00","N",2
"2015-11-03 09:00:00","I1",29
"2015-11-03 09:00:00","I2",9
"2015-11-03 09:00:00","I3",6
"2015-11-03 09:00:00","S1",6
"2015-11-03 09:00:00","S2",4
"2015-11-03 09:00:00","S3",3
"2015-11-03 09:00:00","N",2
"2015-11-03 10:00:00","I1",33
"2015-11-03 10:00:00","I2",11
"2015-11-03 10:00:00","I3",10
"2015-11-03 10:00:00","S1",5
"2015-11-03 10:00:00","S2",3
"2015-11-03 10:00:00","S3",3
"2015-11-03 10:00:00","N",4
"2015-11-03 11:00:00","I1",32
"2015-11-03 11:00:00","I2",10
"2015-11-03 11:00:00","I3",8
"2015-11-03 11:00:00","S1",7
"2015-11-03 11:00:00","S2",3
"2015-11-03 11:00:00","S3",4
"2015-11-03 11:00:00","N",3
"2015-11-03 12:00:00","I1",32
"2015-11-03 12:00:00","I2",9
"2015-11-03 12:00:00","I3",10
"2015-11-03 12:00:00","S1",6
"2015-11-03 12:00:00","S2",3
"2015-11-03 12:00:00","S3",6
"2015-11-03 12:00:00","N",3
"2015-11-03 13:00:00","I1",29
"2015-11-03 13:00:00","I2",8
"2015-11-03 13:00:00","I3",5
"2015-11-03 13:00:00","S1",5
"2015-11-03 13:00:00","S2",3
"2015-11-03 13:00:00","S3",2
"2015-11-03 13:00:00","N",2
"2015-11-03 14:00:00","I1",27
"2015-11-03 14:00:00","I2",10
"2015-11-03 14:00:00","I3",8
"2015-11-03 14:00:00","S1",4
"2015-11-03 14:00:00","S2",2
"2015-11-03 14:00:00","S3",4
"2015-11-03 14:00:00","N",4
"2015-11-03 15:00:00","I1",26
"2015-11-03 15:00:00","I2",11
"2015-11-03 15:00:00","I3",8
"2015-11-03 15:00:00","S1",3
"2015-11-03 15:00:00","S2",4
"2015-11-03 15:00:00","S3",3
"2015-11-03 15:00:00","N",3
"2015-11-03 16:00:00","I1",28
"2015-11-03 16:00:00","I2",8
"2015-11-03 16:00:00","I3",5
"2015-11-03 16:00:00","S1",3
"2015-11-03 16:00:00","S2",3
"2015-11-03 16:00:00","S3",2
"2015-11-03 16:00:00","N",1
"2015-11-03 17:00:00","I1",26
"2015-11-03 17:00:00","I2",14
"2015-11-03 17:00:00","I3",7
"2015-11-03 17:00:00","S1",4
"2015-11-03 17:00:00","S2",2
"2015-11-03 17:00:00","S3",3
"2015-11-03 17:00:00","N",2
"2015-11-03 18:00:00","I1",25
"2015-11-03 18:00:00","I2",9
"2015-11-03 18:00:00","I3",4
"2015-11-03 18:00:00","S1",2
"2015-11-03 18:00:00","S2",2
"2015-11-03 18:00:00","S3",2
"2015-11-03 18:00:00","N",1
"2015-11-03 19:00:00","I1",29
"2015-11-03 19:00:00","I2",10
"2015-11-03 19:00:00","I3",7
"2015-11-03 19:00:00","S1",2
"2015-11-03 19:00:00","S2",1
"2015-11-03 19:00:00","S3",2
"2015-11-03 19:00:00","N",2
"2015-11-03 20:00:00","I1",26
"2015-11-03 20:00:00","I2",12
"2015-11-03 20:00:00","I3",6
"2015-11-03 20:00:00","S1",2
"2015-11-03 20:00:00","S2",2
"2015-11-03 20:00:00","S3",3
"2015-11-03 20:00:00","N",2
"2015-11-03 21:00:00","I1",24
"2015-11-03 21:00:00","I2",8
"2015-11-03 21:00:00","I3",6
"2015-11-03 21:00:00","S1",4
"2015-11-03 21:00:00","S2",3
"2015-11-03 21:00:00","S3",2
"2015-11-03 21:00:00","N",2
"2015-11-03 22:00:00","I1",25
"2015-11-03 22:00:00","I2",13
"2015-11-03 22:00:00","I3",9
"2015-11-03 22:00:00","S1",4
"2015-11-03 22:00:00","S2",3
"2015-11-03 22:00:00","S3",4
"2015-11-03 22:00:00","N",3
"2015-11-03 23:00:00","I1",20
"2015-11-03 23:00:00","I2",11
"2015-11-03 23:00:00","I3",3
"2015-11-03 23:00:00","S1",3
"2015-11-03 23:00:00","S2",3
"2015-11-03 23:00:00","S3",1
"2015-11-03 23:00:00","N",1
"2015-11-04 00:00:00","I1",18
"2015-11-04 00:00:00","I2",10
"2015-11-04 00:00:00","I3",2
"2015-11-04 00:00:00","S1",3
"2015-11-04 00:00:00","S2",2
"2015-11-04 00:00:00","S3",1
"2015-11-04 00:00:00","N",0
"2015-11-04 01:00:00","I1",18
"2015-11-04 01:00:00","I2",8
"2015-11-04 01:00:00","I3",6
"2015-11-04 01:00:00","S1",3
"2015-11-04 01:00:00","S2",2
"2015-11-04 01:00:00","S3",3
"2015-11-04 01:00:00","N",2
"2015-11-04 02:00:00","I1",13
"2015-11-04 02:00:00","I2",7
"2015-11-04 02:00:00","I3",3
"2015-11-04 02:00:00","S1",2
"2015-11-04 02:00:00","S2",3
"2015-11-04 02:00:00","S3",2
"2015-11-04 02:00:00","N",1
"2015-11-04 03:00:00","I1",13
"2015-11-04 03:00:00","I2",7
"2015-11-04 03:00:00","I3",6
"2015-11-04 03:00:00","S1",1
"2015-11-04 03:00:00","S2",2
"2015-11-04 03:00:00","S3",2
"2015-11-04 03:00:00","N",2
"2015-11-04 04:00:00","I1",10
"2015-11-04 04:00:00","I2",5
"2015-11-04 04:00:00","I3",1
"2015-11-04 04:00:00","S1",1
"2015-11-04 04:00:00","S2",1
"2015-11-04 04:00:00","S3",1
"2015-11-04 04:00:00","N",0
"2015-11-04 05:00:00","I1",12
"2015-11-04 05:00:00","I2",6
"2015-11-04 05:00:00","I3",6
"2015-11-04 05:00:00","S1",1
"2015-11-04 05:00:00","S2",2
"2015-11-04 05:00:00","S3",3
"2015-11-04 05:00:00","N",2
"2015-11-04 06:00:00","I1",13
"2015-11-04 06:00:00","I2",6
"2015-11-04 06:00:00","I3",2
"2015-11-04 06:00:00","S1",2
"2015-11-04 06:00:00","S2",1
"2015-11-04 06:00:00","S3",1
"2015-11-04 06:00:00","N",0
"2015-11-04 07:00:00","I1",11
"2015-11-04 07:00:00","I2",6
"2015-11-04 07:00:00","I3",3
"2015-11-04 07:00:00","S1",2
"2015-11-04 07:00:00","S2",1
"2015-11-04 07:00:00","S3",1
"2015-11-04 07:00:00","N",1
"2015-11-04 08:00:00","I1",13
"2015-11-04 08:00:00","I2",9
"2015-11-04 08:00:00","I3",5
"2015-11-04 08:00:00","S1",2
"2015-11-04 08:00:00","S2",2
"2015-11-04 08:00:00","S3",2
"2015-11-04 08:00:00","N",2
"2015-11-04 09:00:00","I1",22
"2015-11-04 09:00:00","I2",6
"2015-11-04 09:00:00","I3",5
"2015-11-04 09:00:00","S1",3
"2015-11-04 09:00:00","S2",1
"2015-11-04 09:00:00","S3",1
"2015-11-04 09:00:00","N",2
"2015-11-04 10:00:00","I1",26
"2015-11-04 10:00:00","I2",8
"2015-11-04 10:00:00","I3",3
"2015-11-04 10:00:00","S1",4
"2015-11-04 10:00:00","S2",3
"2015-11-04 10:00:00","S3",2
"2015-11-04 10:00:00","N",1
"2015-11-04 11:00:00","I1",27
"2015-11-04 11:00:00","I2",7
"2015-11-04 11:00:00","I3",4
"2015-11-04 11:00:00","S1",4
"2015-11-04 11:00:00","S2",2
"2015-11-04 11:00:00","S3",2
"2015-11-04 11:00:00","N",1
"2015-11-04 12:00:00","I1",31
"2015-11-04 12:00:00","I2",10
"2015-11-04 12:00:00","I3",7
"2015-11-04 12:00:00","S1",7
"2015-11-04 12:00:00","S2",3
"2015-11-04 12:00:00","S3",2
"2015-11-04 12:00:00","N",2
"2015-11-04 13:00:00","I1",24
"2015-11-04 13:00:00","I2",10
"2015-11-04 13:00:00","I3",5
"2015-11-04 13:00:00","S1",3
"2015-11-04 13:00:00","S2",3
"2015-11-04 13:00:00","S3",2
"2015-11-04 13:00:00","N",2
"2015-11-04 14:00:00","I1",23
"2015-11-04 14:00:00","I2",10
"2015-11-04 14:00:00","I3",5
"2015-11-04 14:00:00","S1",3
"2015-11-04 14:00:00","S2",2
"2015-11-04 14:00:00","S3",3
"2015-11-04 14:00:00","N",1
"2015-11-04 15:00:00","I1",26
"2015-11-04 15:00:00","I2",7
"2015-11-04 15:00:00","I3",7
"2015-11-04 15:00:00","S1",5
"2015-11-04 15:00:00","S2",1
"2015-11-04 15:00:00","S3",3
"2015-11-04 15:00:00","N",3
"2015-11-04 16:00:00","I1",26
"2015-11-04 16:00:00","I2",8
"2015-11-04 16:00:00","I3",9
"2015-11-04 16:00:00","S1",4
"2015-11-04 16:00:00","S2",3
"2015-11-04 16:00:00","S3",4
"2015-11-04 16:00:00","N",2
"2015-11-04 17:00:00","I1",24
"2015-11-04 17:00:00","I2",12
"2015-11-04 17:00:00","I3",8
"2015-11-04 17:00:00","S1",3
"2015-11-04 17:00:00","S2",2
"2015-11-04 17:00:00","S3",2
"2015-11-04 17:00:00","N",2
"2015-11-04 18:00:00","I1",23
"2015-11-04 18:00:00","I2",9
"2015-11-04 18:00:00","I3",7
"2015-11-04 18:00:00","S1",3
"2015-11-04 18:00:00","S2",3
"2015-11-04 18:00:00","S3",4
"2015-11-04 18:00:00","N",3
"2015-11-04 19:00:00","I1",25
"2015-11-04 19:00:00","I2",9
"2015-11-04 19:00:00","I3",6
"2015-11-04 19:00:00","S1",2
"2015-11-04 19:00:00","S2",2
"2015-11-04 19:00:00","S3",3
"2015-11-04 19:00:00","N",2
"2015-11-04 20:00:00","I1",26
"2015-11-04 20:00:00","I2",10
"2015-11-04 20:00:00","I3",8
"2015-11-04 20:00:00","S1",6
"2015-11-04 20:00:00","S2",1
"2015-11-04 20:00:00","S3",2
"2015-11-04 20:00:00","N",3
"2015-11-04 21:00:00","I1",24
"2015-11-04 21:00:00","I2",10
"2015-11-04 21:00:00","I3",5
"2015-11-04 21:00:00","S1",4
"2015-11-04 21:00:00","S2",3
"2015-11-04 21:00:00","S3",3
"2015-11-04 21:00:00","N",2
"2015-11-04 22:00:00","I1",26
"2015-11-04 22:00:00","I2",11
"2015-11-04 22:00:00","I3",4
"2015-11-04 22:00:00","S1",3
"2015-11-04 22:00:00","S2",4
"2015-11-04 22:00:00","S3",2
"2015-11-04 22:00:00","N",1
"2015-11-04 23:00:00","I1",24
"2015-11-04 23:00:00","I2",8
"2015-11-04 23:00:00","I3",4
"2015-11-04 23:00:00","S1",2
"2015-11-04 23:00:00","S2",3
"2015-11-04 23:00:00","S3",2
"2015-11-04 23:00:00","N",2
"2015-11-05 00:00:00","I1",19
"2015-11-05 00:00:00","I2",8
"2015-11-05 00:00:00","I3",6
"2015-11-05 00:00:00","S1",2
"2015-11-05 00:00:00","S2",2
"2015-11-05 00:00:00","S3",2
"2015-11-05 00:00:00","N",2
"2015-11-05 01:00:00","I1",20
"2015-11-05 01:00:00","I2",7
"2015-11-05 01:00:00","I3",3
"2015-11-05 01:00:00","S1",2
"2015-11-05 01:00:00","S2",2
"2015-11-05 01:00:00","S3",2
"2015-11-05 01:00:00","N",1
"2015-11-05 02:00:00","I1",18
"2015-11-05 02:00:00","I2",8
"2015-11-05 02:00:00","I3",1
"2015-11-05 02:00:00","S1",1
"2015-11-05 02:00:00","S2",2
"2015-11-05 02:00:00","S3",1
"2015-11-05 02:00:00","N",0
"2015-11-05 03:00:00","I1",13
"2015-11-05 03:00:00","I2",5
"2015-11-05 03:00:00","I3",2
"2015-11-05 03:00:00","S1",1
"2015-11-05 03:00:00","S2",2
"2015-11-05 03:00:00","S3",1
"2015-11-05 03:00:00","N",0
"2015-11-05 04:00:00","I1",13
"2015-11-05 04:00:00","I2",4
"2015-11-05 04:00:00","I3",1
"2015-11-05 04:00:00","S1",2
"2015-11-05 04:00:00","S2",2
"2015-11-05 04:00:00","S3",1
"2015-11-05 04:00:00","N",0
"2015-11-05 05:00:00","I1",9
"2015-11-05 05:00:00","I2",6
"2015-11-05 05:00:00","I3",4
"2015-11-05 05:00:00","S1",2
"2015-11-05 05:00:00","S2",2
"2015-11-05 05:00:00","S3",2
"2015-11-05 05:00:00","N",1
"2015-11-05 06:00:00","I1",12
"2015-11-05 06:00:00","I2",5
"2015-11-05 06:00:00","I3",4
"2015-11-05 06:00:00","S1",2
"2015-11-05 06:00:00","S2",2
"2015-11-05 06:00:00","S3",2
"2015-11-05 06:00:00","N",1
"2015-11-05 07:00:00","I1",12
"2015-11-05 07:00:00","I2",6
"2015-11-05 07:00:00","I3",4
"2015-11-05 07:00:00","S1",1
"2015-11-05 07:00:00","S2",2
"2015-11-05 07:00:00","S3",2
"2015-11-05 07:00:00","N",1
"2015-11-05 08:00:00","I1",15
"2015-11-05 08:00:00","I2",8
"2015-11-05 08:00:00","I3",4
"2015-11-05 08:00:00","S1",2
"2015-11-05 08:00:00","S2",1
"2015-11-05 08:00:00","S3",2
"2015-11-05 08:00:00","N",1
"2015-11-05 09:00:00","I1",16
"2015-11-05 09:00:00","I2",6
"2015-11-05 09:00:00","I3",5
"2015-11-05 09:00:00","S1",3
"2015-11-05 09:00:00","S2",2
"2015-11-05 09:00:00","S3",2
